pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline_200_epochs/last.pth
SimCore sampling starts!
100%|████████████████████████████████████████████████████████████████████████████████| 53/53 [01:03<00:00,  1.20s/it]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.67it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 5689 number of indices sampled from imagenet.
new epoch: 200
Train: [23][50/97]	BT 0.200 (0.237)	DT 0.000 (0.037)	loss 2.963 (3.149)
Train: [23][60/97]	BT 0.196 (0.231)	DT 0.000 (0.031)	loss 2.982 (3.142)
Train: [23][70/97]	BT 0.196 (0.226)	DT 0.000 (0.026)	loss 3.160 (3.149)
Train: [23][80/97]	BT 0.196 (0.222)	DT 0.000 (0.023)	loss 3.025 (3.145)
Train: [23][90/97]	BT 0.196 (0.219)	DT 0.000 (0.020)	loss 3.063 (3.138)
Train epoch 23, total time 21.07, loss 3.133
Train: [24][10/97]	BT 0.198 (0.351)	DT 0.000 (0.152)	loss 2.971 (3.087)
Train: [24][20/97]	BT 0.198 (0.274)	DT 0.000 (0.076)	loss 3.043 (3.036)
Train: [24][30/97]	BT 0.197 (0.248)	DT 0.000 (0.051)	loss 3.127 (3.038)
Train: [24][40/97]	BT 0.197 (0.235)	DT 0.000 (0.038)	loss 2.934 (3.059)
Train: [24][50/97]	BT 0.196 (0.228)	DT 0.000 (0.031)	loss 3.107 (3.071)
Train: [24][60/97]	BT 0.197 (0.223)	DT 0.000 (0.026)	loss 3.071 (3.056)
Train: [24][70/97]	BT 0.196 (0.219)	DT 0.000 (0.022)	loss 2.836 (3.038)
Train: [24][80/97]	BT 0.196 (0.216)	DT 0.000 (0.019)	loss 3.083 (3.014)
Train: [24][90/97]	BT 0.196 (0.214)	DT 0.000 (0.017)	loss 2.882 (3.000)
Train epoch 24, total time 20.58, loss 2.984
Train: [25][10/97]	BT 0.198 (0.380)	DT 0.000 (0.181)	loss 3.124 (2.866)
Train: [25][20/97]	BT 0.200 (0.290)	DT 0.000 (0.091)	loss 2.820 (2.855)
Train: [25][30/97]	BT 0.200 (0.259)	DT 0.000 (0.061)	loss 2.810 (2.872)
Train: [25][40/97]	BT 0.197 (0.244)	DT 0.000 (0.046)	loss 2.894 (2.865)
Train: [25][50/97]	BT 0.201 (0.235)	DT 0.000 (0.036)	loss 2.948 (2.866)
Train: [25][60/97]	BT 0.198 (0.229)	DT 0.000 (0.030)	loss 2.935 (2.856)
Train: [25][70/97]	BT 0.197 (0.225)	DT 0.000 (0.026)	loss 3.037 (2.839)
Train: [25][80/97]	BT 0.197 (0.221)	DT 0.000 (0.023)	loss 2.588 (2.828)
Train: [25][90/97]	BT 0.197 (0.219)	DT 0.000 (0.020)	loss 2.861 (2.815)
Train epoch 25, total time 21.06, loss 2.803
Train: [26][10/97]	BT 0.199 (0.412)	DT 0.000 (0.214)	loss 2.690 (2.717)
Train: [26][20/97]	BT 0.196 (0.305)	DT 0.000 (0.107)	loss 2.808 (2.726)
Train: [26][30/97]	BT 0.197 (0.269)	DT 0.000 (0.071)	loss 2.594 (2.751)
Train: [26][40/97]	BT 0.197 (0.251)	DT 0.000 (0.054)	loss 2.741 (2.739)
Train: [26][50/97]	BT 0.197 (0.240)	DT 0.000 (0.043)	loss 2.797 (2.723)
Train: [26][60/97]	BT 0.197 (0.233)	DT 0.000 (0.036)	loss 2.696 (2.721)
Train: [26][70/97]	BT 0.196 (0.228)	DT 0.000 (0.031)	loss 2.566 (2.713)
Train: [26][80/97]	BT 0.195 (0.224)	DT 0.000 (0.027)	loss 2.720 (2.719)
Train: [26][90/97]	BT 0.195 (0.221)	DT 0.000 (0.024)	loss 2.445 (2.713)
Train epoch 26, total time 21.19, loss 2.709
Train: [27][10/97]	BT 0.198 (0.405)	DT 0.000 (0.206)	loss 2.765 (2.692)
Train: [27][20/97]	BT 0.196 (0.301)	DT 0.000 (0.103)	loss 2.681 (2.722)
Train: [27][30/97]	BT 0.196 (0.266)	DT 0.000 (0.069)	loss 2.734 (2.695)
Train: [27][40/97]	BT 0.196 (0.249)	DT 0.000 (0.052)	loss 2.602 (2.672)
Train: [27][50/97]	BT 0.197 (0.238)	DT 0.000 (0.041)	loss 2.548 (2.656)
